stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,12.26,0,0,0,0,0
72hpf,0,14.98,1.07,0,0,0,1.07
21Day,1.34,42.83,0,0,0,0,0
3Month,0,11.52,0,4.16,0.64,0.32,0.96
22Month,0,4.37,0,0,0,0,1.09
