stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,0,0,0,32.69,0,4.09
72hpf,1.07,1.07,0,0,3.21,0,0
21Day,2.68,6.69,0,0,2.68,1.34,6.69
3Month,0,0,0.32,0.32,0,0,0
