stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,4.09,0,0,0,16.35
72hpf,0,0,0,0,9.63,10.7
21Day,1.34,2.68,4.02,4.02,2.68,2.68
