stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,11.77,1.07,1.07
21Day,0,1.34,0,0,1.34,4.02,1.34,1.34
3Month,0.32,2.88,0,12.48,0.32,0,0.32,0.32
22Month,0,12.03,0.55,3.28,0,0,0,0.55
