stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0
21Day,0,0,0,0,10.71,0,2.68
3Month,0,5.76,0.64,0.64,9.6,0.64,0
22Month,0,3.83,0,0,2.73,0,0
