stage,Epithelial,Germ,Neuron,Other,Stromal
24hpf,0,0,0,4.09,4.09
72hpf,1.07,0,1.07,0,1.07
21Day,2.68,1.34,1.34,0,2.68
22Month,0,0,0,0,0.55
