stage,Epithelial,Germ,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,4.09,0
72hpf,0,0,1.07,2.14,0,1.07
21Day,0,0,5.35,2.68,0,0
22Month,2.73,0.55,0,0,0.55,0
