stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,12.26,8.17
72hpf,3.21,4.28,0,0,1.07,237.49,9.63
21Day,4.02,1.34,0,2.68,0,60.23,2.68
3Month,0.32,0,0,0.32,0,0,0
22Month,1.09,0,0.55,0,0,0,0
