stage,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0
21Day,1.34,1.34,0,0,1.34,0
3Month,2.56,0.32,0,0,0,0.32
22Month,9.29,2.19,0,0.55,0,2.19
