stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,27.81,6.42,4.28,2.14,8.56,1131.84,4.28,3.21,22.47
21Day,21.42,6.69,6.69,2.68,0,307.86,0,9.37,13.39
3Month,21.12,0.64,49.91,9.6,0.32,1.28,0,1.92,2.24
22Month,71.07,1.09,92.38,8.75,0,1.09,3.83,3.28,2.73
