stage,Epithelial,Erythroid,Immune,Muscle,Secretory,Stromal
72hpf,0,0,0,0,0,1.07
21Day,0,0,0,0,0,1.34
3Month,1.92,0,0,0,0.32,1.6
22Month,2.73,0.55,1.09,0.55,0,8.75
