stage,Epithelial,Erythroid,Germ,Muscle,Other,Stromal
24hpf,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07
21Day,2.68,0,0,0,0,0
3Month,1.6,0,0.32,0.32,0,0
22Month,4.37,0.55,0,0,0.55,0
