stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,4.09,32.69,0,0,0
72hpf,5.35,0,0,0,8.56,0,1.07,8.56
21Day,9.37,0,1.34,1.34,0,0,0,4.02
3Month,27.2,8.96,6.4,0.96,0.64,0,1.6,3.2
22Month,58.49,0.55,8.2,1.64,2.19,2.73,0,2.73
