stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,0,0,12.26,0,0
21Day,0,2.68,0,1.34,0,0,0
3Month,0,3.2,0.32,0.32,0,0,0.32
22Month,0.55,15.85,0,1.09,0,1.09,0
