stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
72hpf,1.07,0,0,0,1.07,1.07,1.07
21Day,44.17,22.76,13.39,16.06,62.91,53.54,22.76
3Month,1.92,0,0.64,0,0,1.92,0.32
22Month,1.64,0,0,0,0,0,0.55
