stage,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,77.64,0,0,0,0,0
72hpf,42.79,0,0,4.28,0,0
21Day,49.53,0,0,2.68,2.68,1.34
3Month,24.96,0.64,2.24,0,0,0.64
22Month,7.11,0,1.09,0,0,0
