stage,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
24hpf,0,0,4.09,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0
3Month,18.24,30.08,24.96,0.32,0,0.64,0
22Month,21.87,8.2,3.28,0,1.09,0,0.55
