stage,Endothelial,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
72hpf,0,7.49,0,0,2.14,0,1.07
21Day,0,6.69,1.34,0,2.68,2.68,0
3Month,2.56,5.12,0,1.92,0,0,0.64
