stage,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,0,22.47,0,0,2.14
21Day,0,1.34,6.69,0,1.34,1.34
3Month,1.28,0,0,0,0.32,0.32
22Month,2.73,0,0,0.55,0,0
