stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
24hpf,4.09,4.09,0,0,0,4.09
72hpf,1.07,2.14,0,0,0,0
21Day,2.68,2.68,0,0,1.34,10.71
3Month,3.84,2.24,19.2,0.64,0.32,0
