stage,Epithelial,Germ,Neuron,Other,Secretory
24hpf,0,0,0,4.09,0
72hpf,0,0,1.07,0,0
21Day,2.68,0,0,0,0
3Month,1.28,3.2,0,0,0.32
22Month,5.47,0.55,0,0,0
