stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
72hpf,0,0,1.07,0,0,7.49,0,1.07
21Day,0,0,1.34,0,1.34,1.34,0,2.68
3Month,0,6.4,0,0.96,1.92,0.32,0,0.32
22Month,1.09,10.39,0,0.55,6.01,0.55,0.55,1.09
