stage,Epithelial,Erythroid,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,16.35,0,0,0
72hpf,1.07,1.07,1.07,21.4,0,0,1.07
21Day,2.68,0,0,17.4,0,2.68,0
22Month,8.75,0,0,0,0.55,0.55,0
