stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,16.35,0,0
72hpf,1.07,0,0,0,1.07,8.56,0,2.14
21Day,1.34,2.68,0,0,1.34,6.69,0,2.68
3Month,1.92,0,0.32,0.32,0.64,0.32,0,2.56
22Month,10.39,0,0,1.64,0.55,0,0.55,3.28
