stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,4.09,0,0,0
72hpf,0,2.14,0,0,0,0,6.42,0
21Day,0,0,1.34,1.34,0,0,0,0
3Month,0,12.8,0.96,31.36,0.32,0.64,0,0
22Month,0.55,31.16,0,0.55,3.28,0,0.55,0.55
