stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,4.09,0,0,4.09,20.43,0,8.17
72hpf,0,0,0,0,1.07,0,0
21Day,0,0,0,0,4.02,0,1.34
3Month,4.16,0,0.32,3.2,0,0.32,1.28
22Month,8.75,1.09,0,3.83,1.64,0,1.64
