stage,Epithelial,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,20.43,4.09,4.09,0
72hpf,3.21,0,1.07,86.65,0,1.07,2.14
21Day,1.34,0,0,16.06,0,0,1.34
3Month,0.32,0.64,0,0,0,0,0
22Month,1.09,0,0,0.55,0,0,0
