stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,0,0,4.09,0
72hpf,0,5.35,0,0,0,1.07,0
21Day,0,10.71,2.68,0,1.34,12.05,0
3Month,0,3.84,0,0.64,1.28,0.96,2.88
22Month,1.09,11.48,0,0,3.28,1.09,0
