stage,Epithelial,Erythroid,Immune,Muscle,Neuron
24hpf,0,0,0,0,12.26
72hpf,0,2.14,0,0,0
21Day,1.34,104.41,2.68,0,1.34
3Month,1.28,0.32,0.32,0,0
22Month,3.28,0,0.55,0.55,0
