stage,Endothelial,Epithelial,Immune,Neuron,Secretory,Stromal
21Day,1.34,1.34,70.94,2.68,1.34,0
3Month,0,1.92,7.68,0,0,0.32
22Month,0,0,7.65,0,0,0.55
