stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
72hpf,0,4.28,0,0,0,53.49,1.07
21Day,0,1.34,1.34,0,0,25.43,0
3Month,0,1.92,0,0.64,0.32,1.92,0.64
22Month,1.09,7.65,0,0,1.64,1.09,0.55
