stage,Endothelial,Epithelial,Erythroid,Neuron,Stromal
72hpf,0,0,0,2.14,0
21Day,0,0,1.34,6.69,1.34
3Month,0,0.32,0,0,0.32
22Month,0.55,2.19,0,0,0
