stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,4.09,0,0,0,0
21Day,0,1.34,0,0,1.34,1.34
3Month,0.32,8,4.16,0.32,0,0
22Month,0,11.48,1.09,0,0,0
