stage,Epithelial,Muscle,Neuron,Other,Stromal
24hpf,0,0,8.17,0,0
72hpf,1.07,2.14,4.28,0,1.07
21Day,4.02,1.34,0,0,4.02
22Month,0.55,0,0,0.55,0
