stage,Endothelial,Epithelial,Neuron,Other,Stromal
24hpf,8.17,8.17,69.47,0,4.09
72hpf,0,0,4.28,1.07,0
21Day,0,1.34,0,0,1.34
22Month,0,1.64,0,0,0
