stage,Epithelial,Erythroid,Neuron,Other,Stromal
72hpf,2.14,1.07,0,0,2.14
21Day,0,2.68,1.34,0,0
3Month,0,0,0,0,0.96
22Month,5.47,0,0,0.55,1.09
