stage,Endothelial,Epithelial,Erythroid,Immune,Neuron
24hpf,0,0,0,0,4.09
72hpf,0,4.28,1.07,0,1.07
3Month,0,0.64,0,0.64,0
22Month,0.55,17.49,0,0,0
