stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,78.09,0,1.07
21Day,0,0,0,0,36.14,1.34,1.34
3Month,0,4.16,0.96,1.28,0.96,0.96,0.32
22Month,0.55,19.68,3.28,1.64,1.09,0.55,0
