stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
24hpf,0,4.09,0,12.26,4.09
72hpf,1.07,3.21,2.14,10.7,2.14
21Day,0,8.03,1.34,0,4.02
3Month,0,0.64,0,0,0
