stage,Epithelial,Germ,Immune,Muscle,Neuron
24hpf,0,0,4.09,0,32.69
72hpf,0,0,0,1.07,14.98
21Day,1.34,0,1.34,0,9.37
3Month,0.32,8,0.32,0,0
22Month,1.64,0.55,0,0,0
