stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,0,28.6,4.09
72hpf,2.14,0,0,0,0,8.56,0
21Day,1.34,1.34,0,0,1.34,5.35,0
3Month,3.2,0,44.79,0.32,0,0,0
22Month,0.55,0,0.55,0,0,0,0
