stage,Epithelial,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,4.09
72hpf,0,0,0,0,1.07
3Month,33.91,0.64,1.6,0.32,0.32
22Month,1.64,0,0,0,0
