stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Secretory,Stromal
24hpf,0,0,0,0,0,0,4.09
72hpf,1.07,2.14,0,0,0,0,1.07
21Day,0,0,1.34,0,0,1.34,1.34
3Month,0.32,3.52,0,0.64,3.2,0,0.64
22Month,0,1.64,0.55,0,1.64,0,0
