stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,0,0
72hpf,1.07,0,0,11.77,0,0
21Day,13.39,2.68,1.34,37.48,2.68,5.35
3Month,0.32,0,0.32,0,0,0
22Month,1.64,0,0,0,0,0
