stage,Endothelial,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,4.09,0,4.09
72hpf,0,2.14,0,0,0,6.42
21Day,0,0,0,2.68,0,4.02
3Month,0,0,0.32,0.32,0.32,0
22Month,0.55,1.09,0,0,0,0
