stage,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,20.43,0
72hpf,0,0,0,2.14,0
21Day,0,0,1.34,1.34,2.68
3Month,0.32,0,0,0,0
22Month,1.09,0.55,0,0,0
