stage,Epithelial,Erythroid,Muscle,Neuron
24hpf,0,0,0,8.17
72hpf,0,1.07,0,2.14
21Day,0,0,0,2.68
3Month,2.24,0,0,0
22Month,3.83,0,0.55,0
