stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,8.17,0,0,0,12.26,4.09
72hpf,0,0,1.07,0,0,31.02,2.14
21Day,0,5.35,1.34,0,1.34,18.74,13.39
3Month,0,1.28,0,0.64,0.32,0,0
22Month,0.55,0.55,0,0,0,0,0.55
