stage,Epithelial,Germ,Immune,Muscle,Stromal
72hpf,4.28,0,0,0,1.07
21Day,12.05,0,0,1.34,0
3Month,2.56,0.32,0.32,0,0
22Month,2.19,0,0,0,0
