stage,Endothelial,Epithelial,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,4.09
72hpf,0,1.07,0,1.07,1.07,0
21Day,0,1.34,1.34,2.68,0,8.03
3Month,0.32,0,0,0,0,0
