stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,8.17,0
72hpf,0,0,0,4.28,2.14
21Day,0,1.34,5.35,0,1.34
3Month,0.32,0,0.32,0,0
