stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,0,0,4.09,0
72hpf,1.07,3.21,0,63.12,1.07
21Day,1.34,4.02,1.34,56.22,0
3Month,0,0.32,0,0.32,0
22Month,0,1.09,0,0,0
