stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,2.14,0,1.07,49.21,0,0,4.28
21Day,0,1.34,1.34,0,25.43,0,5.35,0
3Month,0,0.96,0,0.32,0.32,0,0.32,0
22Month,0.55,14.21,0,1.64,1.09,0.55,0,1.64
