stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,4.09,0
72hpf,7.49,0,0,0,1.07,0
21Day,32.12,1.34,0,0,1.34,0
3Month,1.6,0,0,0,0,0
22Month,7.65,0,0.55,1.09,0,0.55
