stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Other,Secretory,Stromal
24hpf,0,0,0,0,4.09,0,0,4.09
72hpf,0,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0
22Month,1.09,15.31,0.55,31.71,2.19,2.19,0.55,1.64
