stage,Endothelial,Epithelial,Germ,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,1.07,6.42,1.07,17.12,1.07,5.35
21Day,0,0,0,9.37,0,5.35
3Month,0.32,4.16,0,0.32,0,0
22Month,0.55,3.28,0,0,0.55,0
