stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,4.09,0,0,12.26,0,0,0
72hpf,0,1.07,0,5.35,0,0,0
21Day,0,0,0,5.35,0,0,2.68
3Month,0.32,7.68,0.64,0,0,1.92,0
22Month,3.28,16.95,2.73,0,0.55,13.67,4.37
