stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
3Month,0,6.4,0.32,1.92,0.96,0,0,0,0.32
22Month,0.55,34.99,0,0.55,5.47,1.09,1.64,0.55,1.64
