stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,4.09,0,0,0,57.21,0,8.17
72hpf,0,2.14,0,0,1.07,12.84,0,2.14
21Day,0,0,0,1.34,0,13.39,0,2.68
3Month,0.32,9.6,7.36,1.28,0.32,0,0,0.64
22Month,0.55,55.21,2.73,7.65,0.55,0.55,1.09,5.47
