stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
24hpf,20.43,0,0,4.09,0,0
72hpf,5.35,0,0,0,0,0
21Day,8.03,0,0,2.68,0,0
3Month,69.43,0.32,2.56,0.64,0.96,1.28
