stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,24.52,0,0
72hpf,0,3.21,0,1.07,13.91,0,1.07
21Day,0,1.34,0,0,20.08,0,0
3Month,0.32,1.28,0.96,0,0,0,0
22Month,0,7.65,0,0,0,0.55,0.55
