stage,Epithelial,Erythroid,Immune,Neuron,Other,Secretory
72hpf,1.07,0,0,20.33,0,0
21Day,1.34,1.34,2.68,41.49,0,0
3Month,1.28,0,1.6,5.12,0,0.32
22Month,24.05,0,0,0,1.09,0
