stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,12.26,0,0,8.17,0,8.17
72hpf,4.28,0,0,0,0,0
21Day,2.68,1.34,0,4.02,1.34,0
3Month,0.64,0,0.64,0,0,0.32
22Month,0.55,0,0,0.55,0,0.55
