stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,4.09,4.09,8.17,0,0
72hpf,1.07,0,0,27.81,0,0
21Day,4.02,0,1.34,62.91,2.68,0
3Month,0.64,0,0,0.32,0,0.32
